Bundesland,Fälle,Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,199,,20200309150343
Bayern,256,,20200309150343
Berlin,40,,20200309150343
Brandenburg,6,,20200309150343
Bremen,4,,20200309150343
Hamburg,17,,20200309150343
Hessen,20,,20200309150343
Mecklenburg-Vorpommern,8,,20200309150343
Niedersachsen,33,,20200309150343
Nordrhein-Westfalen,484,Landkreis Heinsberg,20200309150343
Rheinland-Pfalz,19,,20200309150343
Saarland,5,,20200309150343
Sachsen,10,,20200309150343
Schleswig-Holstein,9,,20200309150343
Thüringen,2,,20200309150343
Gesamt,1112,,20200309150343
